DMU,标准化GTFP,效率等级,GTFP排名,百分位排名,传统TFP,绿色TFP_简单,绿色TFP_对数,综合GTFP,资本效率,劳动效率,能源效率,总投入,总污染
688091_2023,0.9999999999421885,A级,1,0.01,0.004939669556427088,0.0011065255557746421,-1.0185203744054552,-0.5087069244248402,1.2113209332164967,20.445736163449443,0.004961099117116314,7293076.33,3.4641254360000997
300896_2023,0.9959221009287609,A级,2,0.01,0.003331675470543941,0.00019721305430544416,-1.0709732712563165,-0.5353880291010055,14.900273884678803,144.115883073825,0.003332497652039817,86123251.12,15.893787500998094
2038_2021,0.9932729315590482,A级,3,0.02,0.003311810216607404,0.00041798644387741,-1.1058603096765163,-0.5527211616163195,2.4226085672412583,101.99920445003343,0.0033164516305804292,36681163.63999999,6.923247691000039
2755_2020,0.9914410510051406,A级,4,0.02,0.0037660400072318813,0.0001045210476513934,-1.1295183065225771,-0.5647068927374629,5.474741552276929,99.70186905640223,0.0037687748815641562,100442079.87,35.03140280700231
300896_2022,0.9836481834658325,A级,5,0.03,0.0026669905661792334,0.00022986422115144344,-1.231618862875935,-0.6156944993273918,9.693207959392074,185.71248697316216,0.002667762886188016,72697608.63,10.602460427001526
600519_2022,0.9796879748783638,A级,6,0.03,0.0014847708170090046,6.60239435216029e-06,-1.2832177483867901,-0.641605572996219,38.67724039131941,7043.1239387056185,0.0014848281307199551,8358181773.13,223.8836918300022
603590_2019,0.9788343908484027,A级,7,0.04,0.003327754899135595,0.0002522810950630902,-1.2946331812305574,-0.6471904500677471,0.5820875864640092,60.495150454026096,0.0033470740101398076,32031341.95,12.19066256000201
300896_2021,0.9746822871666876,A级,8,0.04,0.002319630957191396,0.00025073097761101266,-1.3489648616104386,-0.6743570653164138,17.64851724722154,184.44229312099552,0.0023199650584938406,62418204.78,8.251473200999406
300896_2024,0.9730498179544317,A级,9,0.05,0.0021392437633408383,0.00012452547482549016,-1.3702006770865602,-0.6850380758058674,18.47845917590222,199.84600059443875,0.002139514356403113,141436357.13,16.179165558000392
688321_2021,0.9728259667727194,A级,10,0.05,0.006662127803030941,0.00019054098512312332,-1.373195944164483,-0.68650270158968,0.33058859716997085,24.429624892166593,0.006801039224727963,6461148.800000001,33.96427169000104
2755_2021,0.972021622449499,A级,11,0.06,0.00215198713034535,0.00011504875401769435,-1.3836458700710021,-0.6917654106584922,4.968571760545746,85.63028029216962,0.0021529737327364742,144362692.75,17.70500149099892
688177_2021,0.9695624095352201,A级,12,0.06,0.006231353478776131,9.299209983350323e-05,-1.4158043615966138,-0.7078556847483901,3.0526885794928855,47.47892286038323,0.006244920643565388,13425311.59,66.00948818000016
688198_2023,0.9689012580894901,A级,13,0.07,0.0023196782092874645,0.0007597961627437387,-1.4251228026454488,-0.7121815032413525,0.883043244393277,21.035092400679844,0.002326045036677473,15978006.2,2.0530268219983
2755_2019,0.967625556960092,A级,14,0.07,0.0026313219551451065,4.995082404438729e-05,-1.4411064147795554,-0.7205282319777555,5.965471497468586,116.30969606177311,0.002632542705854485,171724774.43,51.67824886099895
2038_2022,0.9638427603984212,A级,15,0.08,0.0018980006848274098,0.0002814860405110228,-1.4908385329484735,-0.7452785234539813,2.270352069651207,80.84414364895447,0.001899633365129851,55330086.779999994,5.742787837998865
688321_2020,0.9634018438925996,A级,16,0.08,0.006177313005660595,0.00022313053306236653,-1.4965498849243677,-0.7481633771956526,0.27859355651989226,15.29340435300708,0.006320000468600253,4362249.159999999,26.68474356600005
603590_2020,0.9555518454054862,A级,17,0.09,0.0020068522648801594,0.0002364108023453396,-1.5992859781280822,-0.7995247836628684,0.37670685628380285,45.893527122585375,0.0020176894492123666,40294144.32,7.488834668999474
300357_2023,0.9522437322036348,A级,18,0.09,0.0036575933657894775,8.768126608841574e-05,-1.6424262625044326,-0.8211692906191721,0.37467032363805874,140.19676748757993,0.0036937487149005343,23189850.77,40.71464865000202
688321_2022,0.9497318925751512,A级,19,0.1,0.0039576717256414266,0.00011320993557134252,-1.6753209998587633,-0.8376038949615959,1.1254279291332638,30.076020289442116,0.003972162897711057,13390182.77,33.95869342300113
300357_2022,0.9487001579566609,A级,20,0.1,0.004057039177842636,6.194074548965408e-05,-1.6887707130939762,-0.8443543861742433,0.5243826157302116,156.92051511380774,0.004088778921223956,22085469.28,64.4987110999992
603275_2023,0.9448579387133403,A级,21,0.11,0.0016919097878659386,0.0002442600068638983,-1.7392312044652942,-0.8694934722292151,0.46318693483763956,34.98003767309675,0.0016981950214083371,36429144.64,5.926675238999811
2755_2022,0.9447113794663393,A级,22,0.11,0.001289868611459582,0.00011475611006133049,-1.7410195325762983,-0.8704523882331184,3.697467021741445,40.85909207942307,0.001290359490872647,145175421.23,10.240086491998774
300896_2020,0.944545753806954,A级,23,0.12,0.0016451965785533853,0.00021736782162778195,-1.7432894738987708,-0.8715360530385715,10.402727318059602,103.24457016010143,0.0016454830332081633,43112793.1,6.568721662999014
