DMU,投入_资本,投入_劳动,投入_能源,产出_营收,非期望_SO2,非期望_NOx
8_2019,44382.67,2618,957391916.8,322014.2985,3.459704442,33.36811465
8_2020,45051.2,2394,1590668849,191751.9166,1.426394287,16.33171056
8_2021,41266.02,10454,1392215400,221480.4537,1.161260972,11.46098759
8_2022,43573.75,10558,1101126663,177295.2858,0.918831738,8.776490405
8_2023,51306.44,19286,1403843449,251164.7824,1.052256036,12.86017546
8_2024,48203.57,17216,992878025.4,208201.2355,0.966224618,10.166926
12_2019,978303.73,59,6831844733,1047202.81,357.6865517,672.9296828
12_2020,914564.46,65,6674993246,1067125.345,293.9113858,762.829213
12_2021,856651.5,998,8246043888,1362903.365,360.338149,715.048567
12_2022,1124323.62,1132,10747860256,1519870.7,283.8742461,690.0638228
12_2023,1314556.86,29676,11847326949,1819486.437,281.3103385,783.5009107
12_2024,1316639.14,27051,11950326730,1545538.64,208.0816416,504.3813319
16_2019,256125.42,1080,54686521084,5511912.548,1882.669693,3541.94004
16_2020,317864.2,984,45800932392,5035183.655,1386.807851,3599.375842
16_2021,401029.53,7445,46186429809,4910651.367,1298.327577,2576.377983
16_2022,411402.97,7397,29639887809,2960785.426,553.0014696,1344.279424
16_2023,521829.77,49715,14643693951,1784933.143,275.9680625,768.6216918
16_2024,500583.69,51100,8054236939,1111476.397,149.64222,362.7265802
17_2019,419.15,1338,33526465.17,7602.268775,2.59665967,4.885197277
17_2021,343.92,1369,169402197.9,16524.6578,4.36895583,8.669677674
17_2022,230.44,746,522417130.7,44476.22383,8.307058297,20.19345004
17_2023,228.86,1305,632792810.9,56848.19079,8.789284422,24.47976987
17_2024,293.12,9744,623374953.1,57986.93159,7.806997252,18.9238399
20_2019,19822.98,9833,378873940,72155.74405,24.64578879,46.36708524
20_2020,19360.54,39842,416696575.2,69174.22691,19.05220694,49.44884998
20_2021,18788.93,37484,419900895.5,76561.12487,20.24200301,40.16786812
20_2022,17094.28,2395,334246550.7,66443.51281,12.41000442,30.16721387
20_2023,15690.52,2245,482641280.3,72654.11778,11.2330348,31.28606309
20_2024,16383.24,8649,651097045.6,81668.26621,10.99530381,26.65216373
21_2019,271940.52,8332,10390054990,1322381.882,451.6777559,849.7590072
21_2020,335118.03,9611,9673003016,1496723.485,412.2328046,1069.925294
21_2021,425912.89,9835,9075573194,1648825.318,435.933081,865.0577956
21_2022,421714.7,70066,8302312654,1611837.516,301.0513722,731.8193307
21_2023,485346.14,73709,7480441746,1426464.839,220.5453685,614.2593194
21_2024,563923.99,72584,8771578471,1482716.651,199.6236825,483.8795872
23_2019,17539.91,13571,1024766489,183053.4177,62.52441755,117.6296293
23_2020,14712.45,15410,906624726.4,178318.1437,49.11300534,127.4698328
23_2021,14111.64,3615,718506952.4,147987.4575,39.12641781,77.6417625
23_2022,8287.16,2877,549786931.7,36303.7618,6.780644572,16.48292361
30_2019,234572.72,35379,4985087725,1006380.803,6295.360096,10538.33606
30_2020,246381.91,48471,5407766967,1111343.033,3360.771325,6616.312463
30_2021,299188.26,65159,7374378901,1282820.438,1962.443341,4161.476812
30_2022,293219.97,4668,7815595643,1257051.761,4153.091869,8666.583033
30_2023,290765.78,4556,8442624024,1584262.603,3057.944006,6721.622631
30_2024,327064.33,19016,9707508171,1646839.226,5106.328451,9343.992121
39_2019,3784925.8,23528,72757136000,8581534.1,2931.141238,5514.470516
39_2020,3531166.1,15931,70978896000,9415908.3,2593.362318,6730.914934
39_2021,3499538.2,18597,1.25265E+11,16369598,4327.959556,8588.325403
39_2022,3920249.4,134897,1.14387E+11,14153665.4,2643.554544,6426.160103
39_2023,4035481.6,149239,98724890000,12780951.9,1976.059746,5503.688982
39_2024,4391937.3,165799,1.35205E+11,17766409.8,2391.958131,5798.008024
45_2019,90322.91,166243,1664396359,215818.4856,73.71577803,138.6843729
45_2020,79018.39,43822,1742576212,210896.4688,58.0858413,150.7582854
45_2021,240570.72,45361,1860349921,229374.7892,60.64442211,120.3417047
45_2022,224022.17,5383,2453492480,283798.8264,53.00659978,128.8526077
45_2023,206600.62,5547,2466252262,307967.8375,47.61482959,132.6160373
45_2024,187355.28,24153,2842864633,333528.3009,44.90416128,108.8458381
48_2019,50578.42,23442,2862911495,491872.3381,168.0057758,316.0758292
48_2020,53817.83,875,2264525711,407150.3297,112.1387645,291.0493759
48_2021,319585.51,902,3763033351,322147.4431,85.17259281,169.0149672
48_2022,482270.09,7802,4858187028,599565.6105,111.9840232,272.2195626
48_2023,605179.39,7788,5042509129,1241700.623,191.9790198,534.6967966
48_2024,552318.23,1707,3507302475,596047.9689,80.24816502,194.5182479
