DMU,投入_资本,投入_劳动,投入_能源,产出_营收,非期望_SO2,非期望_废水,非期望_烟尘
8_2019,0.001,0.001,0.001,3220142984.66,3.459704441724012,322014.298466,6440.285969320001
8_2020,0.001,0.001,0.001,1917519166.43,1.4263942871190674,191751.916643,3835.03833286
8_2021,0.001,0.001,0.001,2214804536.96,1.1612609717191036,221480.453696,4429.60907392
8_2022,0.001,0.001,0.001,1772952858.32,0.9188317378847284,177295.285832,3545.90571664
8_2023,0.001,0.001,0.001,2511647824.07,1.0522560360550637,251164.78240700002,5023.295648140001
8_2024,0.001,0.001,0.001,2082012354.78,0.9662246178864581,208201.235478,4164.02470956
12_2019,0.001,0.001,0.001,10472028099.0,357.6865516543765,1047202.8099,20944.056198000002
12_2020,0.001,0.001,0.001,10671253445.0,293.91138584956406,1067125.3445,21342.506889999997
12_2021,0.001,0.001,0.001,13629033650.0,360.3381489863433,1362903.365,27258.0673
12_2022,0.001,0.001,0.001,15198706998.0,283.8742461007291,1519870.6998,30397.413996000003
12_2023,0.001,0.001,0.001,18194864366.0,281.31033847764655,1819486.4366,36389.728731999996
12_2024,0.001,0.001,0.001,15455386401.0,208.08164159142476,1545538.6401,30910.772802
16_2019,0.001,0.001,0.001,55119125478.72,1882.669692661626,5511912.547872,110238.25095744
16_2020,0.001,0.001,0.001,50351836554.87,1386.8078514100534,5035183.655487,100703.67310974
16_2021,0.001,0.001,0.001,49106513669.58,1298.3275772357508,4910651.366958,98213.02733915999
16_2022,0.001,0.001,0.001,29607854255.27,553.0014695645518,2960785.425527,59215.70851054
16_2023,0.001,0.001,0.001,17849331429.24,275.9680624683366,1784933.1429240003,35698.662858480006
16_2024,0.001,0.001,0.001,11114763969.59,149.64222004464835,1111476.396959,22229.52793918
17_2019,0.001,0.001,0.001,76022687.75,2.59665967009691,7602.268775,152.0453755
17_2021,0.001,0.001,0.001,165246577.95,4.36895583017586,16524.657795,330.4931559
17_2022,0.001,0.001,0.001,444762238.25,8.307058297387123,44476.223825,889.5244765
17_2023,0.001,0.001,0.001,568481907.92,8.789284422159758,56848.190791999994,1136.9638158399998
17_2024,0.001,0.001,0.001,579869315.88,7.806997251715417,57986.931588,1159.73863176
20_2019,0.001,0.001,0.001,721557440.51,24.645788788632608,72155.744051,1443.11488102
20_2020,0.001,0.001,0.001,691742269.12,19.052206942291523,69174.226912,1383.48453824
20_2021,0.001,0.001,0.001,765611248.7,20.242003012420543,76561.12487,1531.2224974
20_2022,0.001,0.001,0.001,664435128.12,12.410004423581979,66443.512812,1328.8702562400001
20_2023,0.001,0.001,0.001,726541177.76,11.233034801596915,72654.117776,1453.08235552
20_2024,0.001,0.001,0.001,816682662.07,10.995303810183946,81668.26620700001,1633.3653241400002
21_2019,0.001,0.001,0.001,13223818815.08,451.67775591815933,1322381.881508,26447.63763016
21_2020,0.001,0.001,0.001,14967234846.43,412.2328045831666,1496723.484643,29934.46969286
21_2021,0.001,0.001,0.001,16488253175.97,435.9330809523113,1648825.317597,32976.50635194
21_2022,0.001,0.001,0.001,16118375162.38,301.05137221156,1611837.516238,32236.75032476
21_2023,0.001,0.001,0.001,14264648386.89,220.54536847656766,1426464.8386889999,28529.29677378
21_2024,0.001,0.001,0.001,14827166508.53,199.6236824622316,1482716.650853,29654.333017060002
23_2019,0.001,0.001,0.001,1830534177.08,62.52441755267552,183053.417708,3661.06835416
23_2020,0.001,0.001,0.001,1783181437.28,49.11300534219317,178318.143728,3566.36287456
23_2021,0.001,0.001,0.001,1479874574.51,39.12641780812433,147987.457451,2959.74914902
23_2022,0.001,0.001,0.001,363037617.97,6.780644572002051,36303.76179700001,726.0752359400002
30_2019,0.001,0.001,0.001,10063808026.15,6295.360096091155,1006380.8026149999,20127.6160523
30_2020,0.001,0.001,0.001,11113430326.49,3360.771325063676,1111343.032649,22226.860652979998
30_2021,0.001,0.001,0.001,12828204379.21,1962.4433408770265,1282820.437921,25656.40875842
30_2022,0.001,0.001,0.001,12570517605.95,4153.091869473963,1257051.760595,25141.0352119
30_2023,0.001,0.001,0.001,15842626034.79,3057.944006103425,1584262.603479,31685.25206958
30_2024,0.001,0.001,0.001,16468392260.56,5106.328450975942,1646839.226056,32936.784521120004
39_2019,0.001,0.001,0.001,85815341000.0,2931.1412375092436,8581534.1,171630.682
39_2020,0.001,0.001,0.001,94159083000.0,2593.362318446381,9415908.3,188318.16600000003
39_2021,0.001,0.001,0.001,163695980000.0,4327.959556377313,16369598.0,327391.96
39_2022,0.001,0.001,0.001,141536654000.0,2643.5545441567406,14153665.4,283073.308
39_2023,0.001,0.001,0.001,127809519000.0,1976.0597456137807,12780951.9,255619.038
39_2024,0.001,0.001,0.001,177664098000.0,2391.958130617026,17766409.8,355328.196
45_2019,0.001,0.001,0.001,2158184855.71,73.71577803017199,215818.485571,4316.36971142
45_2020,0.001,0.001,0.001,2108964687.8,58.085841301943816,210896.46878,4217.9293756
45_2021,0.001,0.001,0.001,2293747892.06,60.64442211324551,229374.789206,4587.49578412
45_2022,0.001,0.001,0.001,2837988264.36,53.006599778120936,283798.826436,5675.97652872
45_2023,0.001,0.001,0.001,3079678375.45,47.614829589993114,307967.83754499996,6159.3567508999995
45_2024,0.001,0.001,0.001,3335283008.68,44.90416128148154,333528.30086799996,6670.566017359999
48_2019,0.001,0.001,0.001,4918723380.78,168.005775765724,491872.338078,9837.44676156
48_2020,0.001,0.001,0.001,4071503296.81,112.13876445013027,407150.329681,8143.00659362
48_2021,0.001,0.001,0.001,3221474431.12,85.1725928137696,322147.443112,6442.94886224
48_2022,0.001,0.001,0.001,5995656104.54,111.98402316588478,599565.610454,11991.312209079999
48_2023,0.001,0.001,0.001,12417006232.4,191.97901978553782,1241700.6232399999,24834.0124648
48_2024,0.001,0.001,0.001,5960479688.87,80.24816501851846,596047.968887,11920.95937774
49_2019,0.001,0.001,0.001,18442687582.11,629.9354109939651,1844268.7582110001,36885.37516422
49_2020,0.001,0.001,0.001,19397824463.66,534.2616497645078,1939782.446366,38795.64892732
49_2021,0.001,0.001,0.001,19470854326.22,514.790100844226,1947085.432622,38941.70865244
49_2022,0.001,0.001,0.001,21749126094.98,406.21986951749136,2174912.609498,43498.252189959996
49_2023,0.001,0.001,0.001,20284918957.13,313.62461972979077,2028491.895713,40569.83791426
49_2024,0.001,0.001,0.001,20859251590.68,280.83589764384,2085925.159068,41718.50318136
50_2019,0.001,0.001,0.001,30281970068.28,1034.3224205116903,3028197.006828,60563.94013656
50_2020,0.001,0.001,0.001,29232745052.03,805.1384642593055,2923274.505203,58465.490104059994
50_2021,0.001,0.001,0.001,31829213790.4,841.53288306859,3182921.37904,63658.4275808
50_2022,0.001,0.001,0.001,31447476894.8,587.3610693630827,3144747.6894799997,62894.9537896
50_2023,0.001,0.001,0.001,32271305895.6,498.9458454865465,3227130.5895599998,64542.6117912
50_2024,0.001,0.001,0.001,33494295787.75,450.94621840142526,3349429.578775,66988.5915755
55_2019,0.001,0.001,0.001,3005749558.66,102.66551852323857,300574.955866,6011.49911732
55_2020,0.001,0.001,0.001,2979296410.16,82.05682127970083,297929.641016,5958.59282032
55_2021,0.001,0.001,0.001,3557724397.54,94.06270884165855,355772.439754,7115.44879508
55_2022,0.001,0.001,0.001,3846975948.44,71.85199354621065,384697.594844,7693.95189688
55_2023,0.001,0.001,0.001,4292204716.01,66.3616687207859,429220.471601,8584.40943202
55_2024,0.001,0.001,0.001,4424224197.71,59.56498336194532,442422.419771,8848.44839542
59_2019,0.001,0.001,0.001,39608340979.04,9198.379536542416,3960834.097904,79216.68195808001
59_2020,0.001,0.001,0.001,30437437454.92,9315.916717705572,3043743.7454919997,60874.87490983999
59_2021,0.001,0.001,0.001,38552307081.15,8068.658100822323,3855230.7081150003,77104.6141623
59_2022,0.001,0.001,0.001,49062144367.8,8103.994688402408,4906214.43678,98124.2887356
59_2023,0.001,0.001,0.001,46142015356.63,4650.2965768934455,4614201.535662999,92284.03071325998
59_2024,0.001,0.001,0.001,34596123962.95,4900.531660146632,3459612.396295,69192.2479259
60_2019,0.001,0.001,0.001,22800522837.36,778.7832798491958,2280052.283736,45601.04567472
60_2020,0.001,0.001,0.001,30226130783.3,832.498640687085,3022613.07833,60452.2615666
60_2021,0.001,0.001,0.001,44449218923.89,1175.1933176071705,4444921.892389,88898.43784778
60_2022,0.001,0.001,0.001,55339454633.99,1033.604106317506,5533945.463399,110678.90926798
60_2023,0.001,0.001,0.001,65596396916.18,1014.184236178584,6559639.691618,131192.79383236
60_2024,0.001,0.001,0.001,59812478789.84,805.2777492147918,5981247.878984,119624.95757967999
63_2019,0.001,0.001,0.001,90736582000.0,3099.2330060290615,9073658.2,181473.164
63_2020,0.001,0.001,0.001,101450670000.0,2794.1897518175565,10145067.0,202901.34
63_2021,0.001,0.001,0.001,114521641000.0,3027.838744592029,11452164.1,229043.282
63_2022,0.001,0.001,0.001,122954418000.0,2296.484346931413,12295441.8,245908.836
63_2023,0.001,0.001,0.001,124250878000.0,1921.0396869811307,12425087.8,248501.75600000002
63_2024,0.001,0.001,0.001,121298752000.0,1633.090418077029,12129875.2,242597.504
66_2019,0.001,0.001,0.001,10843784576.71,370.3844064834678,1084378.457671,21687.569153419998
66_2020,0.001,0.001,0.001,14446088072.53,397.87919829526174,1444608.807253,28892.176145060002
66_2021,0.001,0.001,0.001,17790432972.09,470.36142484162997,1779043.297209,35580.86594418
66_2022,0.001,0.001,0.001,14027336139.07,261.9959363519542,1402733.613907,28054.672278140002
66_2023,0.001,0.001,0.001,13420233900.29,207.4898974237161,1342023.3900290001,26840.46780058
66_2024,0.001,0.001,0.001,14202752494.2,191.21696329239765,1420275.24942,28405.5049884
70_2019,0.001,0.001,0.001,4328357960.44,147.8410312271216,432835.79604399996,8656.715920879999
70_2020,0.001,0.001,0.001,4722428257.52,130.0667668420132,472242.82575200003,9444.85651504
70_2021,0.001,0.001,0.001,4590838502.2,121.377222381279,459083.85021999996,9181.677004399999
70_2022,0.001,0.001,0.001,4191611230.82,78.28892801558415,419161.123082,8383.22246164
70_2023,0.001,0.001,0.001,4937289689.32,76.33531120244041,493728.968932,9874.57937864
100_2019,0.001,0.001,0.001,74933086000.0,2559.4428207006317,7493308.6,149866.172
100_2020,0.001,0.001,0.001,76677238000.0,2111.8712436031788,7667723.8,153354.476
100_2021,0.001,0.001,0.001,163540560000.0,4323.850405534072,16354056.0,327081.12
100_2022,0.001,0.001,0.001,166552786000.0,3110.794001617879,16655278.6,333105.572
100_2023,0.001,0.001,0.001,174366657000.0,2695.878480498353,17436665.7,348733.314
100_2024,0.001,0.001,0.001,164822833000.0,2219.0713821409336,16482283.3,329645.666
153_2019,0.001,0.001,0.001,3238064437.11,234.81924714420364,323806.443711,6476.12887422
153_2020,0.001,0.001,0.001,3321182365.33,135.0923292659906,332118.236533,6642.3647306600005
153_2021,0.001,0.001,0.001,3501668742.45,359.57716875235656,350166.87424499996,7003.337484899999
153_2022,0.001,0.001,0.001,4004020381.58,385.68728484930347,400402.038158,8008.04076316
153_2023,0.001,0.001,0.001,4275436713.72,208.49737063455063,427543.67137199995,8550.87342744
153_2024,0.001,0.001,0.001,4284620583.14,290.73522666084654,428462.05831399997,8569.241166279999
157_2019,0.001,0.001,0.001,43307395375.43,8706.057217550757,4330739.537543,86614.79075085999
157_2020,0.001,0.001,0.001,65108942242.75,11839.474542940114,6510894.224275,130217.8844855
157_2021,0.001,0.001,0.001,67130626817.29,7503.797626600311,6713062.681729,134261.25363458
157_2022,0.001,0.001,0.001,41631497729.32,3849.9916888079456,4163149.772932,83262.99545864
