Stkcd,ShortName,Accper,Typrep,C001014000,Year
000008,神州高铁,2019-12-31,A,957391916.81,2019
000008,神州高铁,2020-12-31,A,1590668849.37,2020
000008,神州高铁,2021-12-31,A,1392215400.1,2021
000008,神州高铁,2022-12-31,A,1101126662.85,2022
000008,神州高铁,2023-12-31,A,1403843449.07,2023
000008,神州高铁,2024-12-31,A,992878025.43,2024
000012,南玻A,2019-12-31,A,6831844733.0,2019
000012,南玻A,2020-12-31,A,6674993246.0,2020
000012,南玻A,2021-12-31,A,8246043888.0,2021
000012,南玻A,2022-12-31,A,10747860256.0,2022
000012,南玻A,2023-12-31,A,11847326949.0,2023
000012,南玻A,2024-12-31,A,11950326730.0,2024
000016,深康佳A,2019-12-31,A,54686521084.34,2019
000016,深康佳A,2020-12-31,A,45800932391.57,2020
000016,深康佳A,2021-12-31,A,46186429808.61,2021
000016,深康佳A,2022-12-31,A,29639887809.19,2022
000016,深康佳A,2023-12-31,A,14643693951.06,2023
000016,深康佳A,2024-12-31,A,8054236938.71,2024
000017,深中华A,2019-12-31,A,33526465.17,2019
000017,深中华A,2021-12-31,A,169402197.88,2021
000017,深中华A,2022-12-31,A,522417130.69,2022
000017,深中华A,2023-12-31,A,632792810.92,2023
000017,深中华A,2024-12-31,A,623374953.08,2024
000020,深华发A,2019-12-31,A,378873939.95,2019
000020,深华发A,2020-12-31,A,416696575.23,2020
000020,深华发A,2021-12-31,A,419900895.46,2021
000020,深华发A,2022-12-31,A,334246550.66,2022
000020,深华发A,2023-12-31,A,482641280.3,2023
000020,深华发A,2024-12-31,A,651097045.55,2024
000021,深科技,2019-12-31,A,10390054989.81,2019
000021,深科技,2020-12-31,A,9673003016.07,2020
000021,深科技,2021-12-31,A,9075573194.33,2021
000021,深科技,2022-12-31,A,8302312653.89,2022
000021,深科技,2023-12-31,A,7480441746.21,2023
000021,深科技,2024-12-31,A,8771578471.24,2024
000023,深天地A,2019-12-31,A,1024766488.85,2019
000023,深天地A,2020-12-31,A,906624726.44,2020
000023,深天地A,2021-12-31,A,718506952.35,2021
000023,深天地A,2022-12-31,A,549786931.73,2022
000030,富奥股份,2019-12-31,A,4985087725.04,2019
000030,富奥股份,2020-12-31,A,5407766967.23,2020
000030,富奥股份,2021-12-31,A,7374378900.55,2021
000030,富奥股份,2022-12-31,A,7815595643.13,2022
000030,富奥股份,2023-12-31,A,8442624024.43,2023
000030,富奥股份,2024-12-31,A,9707508171.38,2024
000039,中集集团,2019-12-31,A,72757136000.0,2019
000039,中集集团,2020-12-31,A,70978896000.0,2020
000039,中集集团,2021-12-31,A,125264769000.0,2021
000039,中集集团,2022-12-31,A,114386900000.0,2022
000039,中集集团,2023-12-31,A,98724890000.0,2023
000039,中集集团,2024-12-31,A,135205008000.0,2024
000045,深纺织A,2019-12-31,A,1664396359.07,2019
000045,深纺织A,2020-12-31,A,1742576211.51,2020
000045,深纺织A,2021-12-31,A,1860349920.78,2021
000045,深纺织A,2022-12-31,A,2453492479.82,2022
000045,深纺织A,2023-12-31,A,2466252261.73,2023
000045,深纺织A,2024-12-31,A,2842864632.73,2024
000048,康达尔,2019-12-31,A,2862911494.53,2019
000048,京基智农,2020-12-31,A,2264525710.67,2020
000048,京基智农,2021-12-31,A,3763033350.9,2021
000048,京基智农,2022-12-31,A,4858187027.66,2022
000048,京基智农,2023-12-31,A,5042509128.6,2023
000048,京基智农,2024-12-31,A,3507302475.21,2024
000049,德赛电池,2019-12-31,A,16896997764.62,2019
000049,德赛电池,2020-12-31,A,16669135147.67,2020
000049,德赛电池,2021-12-31,A,17893295799.98,2021
000049,德赛电池,2022-12-31,A,20867345179.34,2022
000049,德赛电池,2023-12-31,A,16402178551.1,2023
000049,德赛电池,2024-12-31,A,18781618125.61,2024
000050,深天马A,2019-12-31,A,25795835427.22,2019
000050,深天马A,2020-12-31,A,23885104531.27,2020
000050,深天马A,2021-12-31,A,24856032871.6,2021
000050,深天马A,2022-12-31,A,27922942546.65,2022
000050,深天马A,2023-12-31,A,28893491075.24,2023
000050,深天马A,2024-12-31,A,27125401186.96,2024
000055,方大集团,2019-12-31,A,1940970927.4,2019
000055,方大集团,2020-12-31,A,2350061484.78,2020
000055,方大集团,2021-12-31,A,2549580998.25,2021
000055,方大集团,2022-12-31,A,2501276962.17,2022
000055,方大集团,2023-12-31,A,3045048069.68,2023
000055,方大集团,2024-12-31,A,3476800439.66,2024
000059,华锦股份,2019-12-31,A,36033410599.23,2019
000059,华锦股份,2020-12-31,A,27513009279.63,2020
000059,华锦股份,2021-12-31,A,33908990988.5,2021
000059,华锦股份,2022-12-31,A,44011562407.19,2022
000059,华锦股份,2023-12-31,A,42685433562.21,2023
000059,华锦股份,2024-12-31,A,33690243395.8,2024
000060,中金岭南,2019-12-31,A,16400280604.57,2019
000060,中金岭南,2020-12-31,A,25940500290.12,2020
000060,中金岭南,2021-12-31,A,32503160271.99,2021
000060,中金岭南,2022-12-31,A,37779299456.88,2022
000060,中金岭南,2023-12-31,A,54927568726.39,2023
000060,中金岭南,2024-12-31,A,55839435823.4,2024
000063,中兴通讯,2019-12-31,A,63769922000.0,2019
000063,中兴通讯,2020-12-31,A,79466978000.0,2020
000063,中兴通讯,2021-12-31,A,75886059000.0,2021
000063,中兴通讯,2022-12-31,A,96473887000.0,2022
000063,中兴通讯,2023-12-31,A,74064351000.0,2023
000063,中兴通讯,2024-12-31,A,75666643000.0,2024
000066,中国长城,2019-12-31,A,8227855524.79,2019
000066,中国长城,2020-12-31,A,11894604801.16,2020
000066,中国长城,2021-12-31,A,18248235525.58,2021
000066,中国长城,2022-12-31,A,12875608731.85,2022
000066,中国长城,2023-12-31,A,10803096821.59,2023
000066,中国长城,2024-12-31,A,12594638191.63,2024
000070,特发信息,2019-12-31,A,4575292520.83,2019
000070,特发信息,2020-12-31,A,5337751084.02,2020
000070,特发信息,2021-12-31,A,3744874394.28,2021
000070,特发信息,2022-12-31,A,4119484110.94,2022
000070,特发信息,2023-12-31,A,4207945287.03,2023
000100,TCL集团,2019-12-31,A,58275622000.0,2019
000100,TCL科技,2020-12-31,A,59086181000.0,2020
000100,TCL科技,2021-12-31,A,100881893000.0,2021
000100,TCL科技,2022-12-31,A,113465399000.0,2022
000100,TCL科技,2023-12-31,A,104274934000.0,2023
000100,TCL科技,2024-12-31,A,121798739000.0,2024
000153,丰原药业,2019-12-31,A,1597528915.76,2019
000153,丰原药业,2020-12-31,A,1693639750.69,2020
000153,丰原药业,2021-12-31,A,2064580321.08,2021
000153,丰原药业,2022-12-31,A,2225794178.44,2022
000153,丰原药业,2023-12-31,A,2131345953.2,2023
000153,丰原药业,2024-12-31,A,2358196622.09,2024
000157,中联重科,2019-12-31,A,24835008309.36,2019
000157,中联重科,2020-12-31,A,38431199843.45,2020
000157,中联重科,2021-12-31,A,51934257454.69,2021
000157,中联重科,2022-12-31,A,40852736489.52,2022
000157,中联重科,2023-12-31,A,41255676327.52,2023
000157,中联重科,2024-12-31,A,45043224512.32,2024
000301,东方盛虹,2019-12-31,A,20547152170.41,2019
000301,东方盛虹,2020-12-31,A,19779122188.83,2020
000301,东方盛虹,2021-12-31,A,44106942148.69,2021
000301,东方盛虹,2022-12-31,A,71390582719.36,2022
000301,东方盛虹,2023-12-31,A,133670343531.08,2023
000301,东方盛虹,2024-12-31,A,147322850976.75,2024
000333,美的集团,2019-12-31,A,130099497000.0,2019
000333,美的集团,2020-12-31,A,139660744000.0,2020
000333,美的集团,2021-12-31,A,209216044000.0,2021
000333,美的集团,2022-12-31,A,221345706000.0,2022
